title,url,datetime,region,content,country,region_new,region_clean,Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_predict,roberta_predict
2019: The UN News year in photos,https://news.un.org/en/story/2019/12/1054401,2019-12-31 12:00:00+00:00,Global,"From sustainable development to economic development, and human rights to humanitarian aid, UN News provides daily coverage across all of the Organization's  key issues – health, migration, climate change and so much more.",Unknown,Unknown,Global,1,0.0,1.0,0.0,0.0,0.05586908,0.9011349,0.042995997,neutral,neutral
Sudan: UN mission envoy commends signing of Darfur framework agreement,https://news.un.org/en/story/2019/12/1054521,2019-12-30 12:00:00+00:00,Africa,"The joint chief mediator for the African Union-United Nations Hybrid Operation in Darfur, UNAMID, welcomed on Monday a framework agreement between the Transitional Government of Sudan and the Darfur armed movements that was signed during peace talks in Juba, South Sudan, on Saturday.",Sudan,Africa,Africa,2,0.0,0.738,0.262,0.4939,0.007902643,0.6815117,0.3105857,positive,neutral
Deadly decade: UNICEF reports three-fold rise in verified attacks on children since 2010,https://news.un.org/en/story/2019/12/1054231,2019-12-30 12:00:00+00:00,Global,"Conflicts around the world are lasting longer and claiming more young lives, UNICEF Executive Director Henrietta Fore said on Monday, as the agency reported that over this ‘deadly decade’, there has been a three-fold rise in verified attacks on children since 2010 – an average of 45 violations a day.",Unknown,Unknown,Global,3,0.195,0.805,0.0,-0.4404,0.74266607,0.24643213,0.010901746,negative,negative
"Continued airstrikes in western Libya ‘utterly unacceptable’, says UN mission chief",https://news.un.org/en/story/2019/12/1054471,2019-12-29 12:00:00+00:00,Africa,The top United Nations official in Libya has condemned recent airstrikes targeting civilian installations that left at least three people dead and several others injured.,Libya,Africa,Africa,4,0.0,1.0,0.0,0.0,0.8403103,0.15413263,0.005557065,neutral,negative
Secretary-General condemns ‘horrendous’ Somalia car bomb attack,https://news.un.org/en/story/2019/12/1054451,2019-12-28 12:00:00+00:00,Africa,"Perpetrators behind the deadly terrorist attack in Somalia on Saturday must be brought to justice, the UN Secretary-General has said.",Somalia,Africa,Africa,5,0.706,0.294,0.0,-0.8625,0.8735495,0.121997535,0.0044529466,negative,negative
"Haiti: Food insecurity expected to rise next year, UN humanitarian agency reports",https://news.un.org/en/story/2019/12/1054441,2019-12-27 12:00:00+00:00,Americas,"The number of Haitians who do not have sufficient food to eat is expected to surpass four million next year, the UN humanitarian affairs office, OCHA, said on Friday.",HT,Americas,Americas,6,0.203,0.797,0.0,-0.4215,0.63594425,0.34899127,0.015064455,negative,negative
Ending war only ‘real hope’ for prosperous Afghanistan: UN mission chief,https://news.un.org/en/story/2019/12/1054321,2019-12-26 12:00:00+00:00,Asia Pacific,"Only by ending the war in Afghanistan can there be “real hope” for a prosperous future for the country, the top UN official there said on Thursday.",Afghanistan,Asia Pacific,Asia Pacific,7,0.244,0.562,0.194,-0.2023,0.070258886,0.80410105,0.1256401,negative,neutral
"Violent attack in Burkina Faso leaves dozens of women dead, draws censure of UN chief",https://news.un.org/en/story/2019/12/1054301,2019-12-25 12:00:00+00:00,Africa,"United Nations Secretary-General António Guterres has “strongly"" condemned an attack carried out yesterday by unidentified gunmen in northern Burkina Faso.",Burkina Faso,Africa,Africa,8,0.485,0.515,0.0,-0.9062,0.93618196,0.06197794,0.0018400484,negative,negative
UN chief offers the world wishes for ‘peace and a blessed New Year’,https://news.un.org/en/story/2019/12/1054281,2019-12-25 12:00:00+00:00,Global,"While visiting with Pope Francis at the Vatican on Friday, UN Secretary-General António Guterres extended wishes for a peaceful Christmas and a blessed New Year.",Unknown,Unknown,Global,9,0.0,0.645,0.355,0.6705,0.0025921767,0.12449409,0.87291366,positive,positive
"The 2010 – 2020 UN News Decade in Review, part two",https://news.un.org/en/story/2019/12/1053701,2019-12-25 12:00:00+00:00,Global,"With the 2020s now in full view, welcome to the second in our three-part series looking back at some of the major UN-related stories of the past decade. In part two, we take in the years 2014 to 2016, which saw the worst outbreak of Ebola ever recorded; new hope that the climate crisis could be tackled by world leaders, through the historic Paris climate agreement; a UN mission in Colombia to facilitate a much-awaited peace process; and the launch of the UN’s 2030 Agenda, a plan of action for people, the planet and prosperity.",Unknown,Unknown,Global,10,0.0,1.0,0.0,0.0,0.038564198,0.9270646,0.03437117,neutral,neutral
