datetime,region_clean,title,content,content_clean,url,month,season,quarter,year,content_length,word_count,Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_predict,roberta_predict
2019-12-31 12:00:00+00:00,Global,2019: The UN News year in photos,"From sustainable development to economic development, and human rights to humanitarian aid, UN News provides daily coverage across all of the Organization's  key issues – health, migration, climate change and so much more.","['sustainable', 'development', 'economic', 'development', 'human', 'right', 'humanitarian', 'aid', 'un', 'news', 'provides', 'daily', 'coverage', 'across', 'organization', 'key', 'issue', 'health', 'migration', 'climate', 'change', 'much']",https://news.un.org/en/story/2019/12/1054401,December,Winter,4,2019,222,22,1,0.0,1.0,0.0,0.0,0.019106539,0.52096766,0.45992574,neutral,neutral
2019-12-30 12:00:00+00:00,Africa,Sudan: UN mission envoy commends signing of Darfur framework agreement,"The joint chief mediator for the African Union-United Nations Hybrid Operation in Darfur, UNAMID, welcomed on Monday a framework agreement between the Transitional Government of Sudan and the Darfur armed movements that was signed during peace talks in Juba, South Sudan, on Saturday.","['joint', 'chief', 'mediator', 'african', 'unionunited', 'nation', 'hybrid', 'operation', 'darfur', 'unamid', 'welcomed', 'monday', 'framework', 'agreement', 'transitional', 'government', 'sudan', 'darfur', 'armed', 'movement', 'signed', 'peace', 'talk', 'juba', 'south', 'sudan', 'saturday']",https://news.un.org/en/story/2019/12/1054521,December,Winter,4,2019,284,27,2,0.0,0.811,0.189,0.8442,0.0030051246,0.3287084,0.6682865,positive,positive
2019-12-30 12:00:00+00:00,Global,Deadly decade: UNICEF reports three-fold rise in verified attacks on children since 2010,"Conflicts around the world are lasting longer and claiming more young lives, UNICEF Executive Director Henrietta Fore said on Monday, as the agency reported that over this ‘deadly decade’, there has been a three-fold rise in verified attacks on children since 2010 – an average of 45 violations a day.","['conflict', 'around', 'world', 'lasting', 'longer', 'claiming', 'young', 'life', 'unicef', 'executive', 'director', 'henrietta', 'fore', 'said', 'monday', 'agency', 'reported', 'deadly', 'decade', 'threefold', 'rise', 'verified', 'attack', 'child', 'since', '2010', 'average', '45', 'violation', 'day']",https://news.un.org/en/story/2019/12/1054231,December,Winter,4,2019,301,30,3,0.168,0.832,0.0,-0.836,0.7317421,0.24834143,0.019916456,negative,negative
2019-12-29 12:00:00+00:00,Africa,"Continued airstrikes in western Libya ‘utterly unacceptable’, says UN mission chief",The top United Nations official in Libya has condemned recent airstrikes targeting civilian installations that left at least three people dead and several others injured.,"['top', 'united', 'nation', 'official', 'libya', 'condemned', 'recent', 'airstrikes', 'targeting', 'civilian', 'installation', 'left', 'least', 'three', 'people', 'dead', 'several', 'others', 'injured']",https://news.un.org/en/story/2019/12/1054471,December,Winter,4,2019,170,19,4,0.287,0.58,0.133,-0.743,0.8147188,0.18082976,0.004451371,negative,negative
2019-12-28 12:00:00+00:00,Africa,Secretary-General condemns ‘horrendous’ Somalia car bomb attack,"Perpetrators behind the deadly terrorist attack in Somalia on Saturday must be brought to justice, the UN Secretary-General has said.","['perpetrator', 'behind', 'deadly', 'terrorist', 'attack', 'somalia', 'saturday', 'must', 'brought', 'justice', 'un', 'secretarygeneral', 'said']",https://news.un.org/en/story/2019/12/1054451,December,Winter,4,2019,133,13,5,0.336,0.548,0.116,-0.7506,0.76239204,0.23308079,0.004527255,negative,negative
2019-12-27 12:00:00+00:00,Americas,"Haiti: Food insecurity expected to rise next year, UN humanitarian agency reports","The number of Haitians who do not have sufficient food to eat is expected to surpass four million next year, the UN humanitarian affairs office, OCHA, said on Friday.","['number', 'haitian', 'sufficient', 'food', 'eat', 'expected', 'surpass', 'four', 'million', 'next', 'year', 'un', 'humanitarian', 'affair', 'office', 'ocha', 'said', 'friday']",https://news.un.org/en/story/2019/12/1054441,December,Winter,4,2019,166,18,6,0.0,0.956,0.044,0.0772,0.5869724,0.38638794,0.026639603,positive,negative
2019-12-26 12:00:00+00:00,Asia Pacific,Ending war only ‘real hope’ for prosperous Afghanistan: UN mission chief,"Only by ending the war in Afghanistan can there be “real hope” for a prosperous future for the country, the top UN official there said on Thursday.","['ending', 'war', 'afghanistan', 'real', 'hope', 'prosperous', 'future', 'country', 'top', 'un', 'official', 'said', 'thursday']",https://news.un.org/en/story/2019/12/1054321,December,Winter,4,2019,147,13,7,0.123,0.723,0.154,0.0,0.038415708,0.54706997,0.41451436,neutral,neutral
2019-12-25 12:00:00+00:00,Africa,"Violent attack in Burkina Faso leaves dozens of women dead, draws censure of UN chief","United Nations Secretary-General António Guterres has “strongly"" condemned an attack carried out yesterday by unidentified gunmen in northern Burkina Faso.","['united', 'nation', 'secretarygeneral', 'antónio', 'guterres', 'strongly', 'condemned', 'attack', 'carried', 'yesterday', 'unidentified', 'gunman', 'northern', 'burkina', 'faso']",https://news.un.org/en/story/2019/12/1054301,December,Winter,4,2019,155,15,8,0.233,0.659,0.109,-0.4939,0.39155722,0.5904171,0.018025713,negative,neutral
2019-12-25 12:00:00+00:00,Global,UN chief offers the world wishes for ‘peace and a blessed New Year’,"While visiting with Pope Francis at the Vatican on Friday, UN Secretary-General António Guterres extended wishes for a peaceful Christmas and a blessed New Year.","['visiting', 'pope', 'francis', 'vatican', 'friday', 'un', 'secretarygeneral', 'antónio', 'guterres', 'extended', 'wish', 'peaceful', 'christmas', 'blessed', 'new', 'year']",https://news.un.org/en/story/2019/12/1054281,December,Winter,4,2019,161,16,9,0.0,0.697,0.303,0.8271,0.0011677681,0.08740467,0.91142756,positive,positive
2019-12-25 12:00:00+00:00,Global,"The 2010 – 2020 UN News Decade in Review, part two","With the 2020s now in full view, welcome to the second in our three-part series looking back at some of the major UN-related stories of the past decade. In part two, we take in the years 2014 to 2016, which saw the worst outbreak of Ebola ever recorded; new hope that the climate crisis could be tackled by world leaders, through the historic Paris climate agreement; a UN mission in Colombia to facilitate a much-awaited peace process; and the launch of the UN’s 2030 Agenda, a plan of action for people, the planet and prosperity.","['2020s', 'full', 'view', 'welcome', 'second', 'threepart', 'series', 'looking', 'back', 'major', 'unrelated', 'story', 'past', 'decade', 'part', 'two', 'take', 'year', '2014', '2016', 'saw', 'worst', 'outbreak', 'ebola', 'ever', 'recorded', 'new', 'hope', 'climate', 'crisis', 'could', 'tackled', 'world', 'leader', 'historic', 'paris', 'climate', 'agreement', 'un', 'mission', 'colombia', 'facilitate', 'muchawaited', 'peace', 'process', 'launch', 'un', '2030', 'agenda', 'plan', 'action', 'people', 'planet', 'prosperity']",https://news.un.org/en/story/2019/12/1053701,December,Winter,4,2019,532,54,10,0.077,0.805,0.118,0.5267,0.025976729,0.41516155,0.55886173,positive,positive
2019-12-24 12:00:00+00:00,Africa,"UN chief urges action following execution, abduction of civilians in Nigeria","Those responsible for the recent execution and abduction of civilians in northeastern Nigeria must be held accountable, the UN Secretary-General has said, according to a statement issued on Tuesday by his spokesperson.","['responsible', 'recent', 'execution', 'abduction', 'civilian', 'northeastern', 'nigeria', 'must', 'held', 'accountable', 'un', 'secretarygeneral', 'said', 'according', 'statement', 'issued', 'tuesday', 'spokesperson']",https://news.un.org/en/story/2019/12/1054271,December,Winter,4,2019,218,18,11,0.108,0.826,0.066,-0.3612,0.38884622,0.59915936,0.011994357,negative,neutral
2019-12-24 12:00:00+00:00,Middle East,"Amidst uptick in violence and displacement, UN chief calls for ‘immediate cessation of hostilities’ in Syria","“Deeply concerned” over a recent military escalation in northwest Syria, Secretary-General António Guterres called for an “immediate cessation of hostilities”.","['deeply', 'concerned', 'recent', 'military', 'escalation', 'northwest', 'syria', 'secretarygeneral', 'antónio', 'guterres', 'called', 'immediate', 'cessation', 'hostility']",https://news.un.org/en/story/2019/12/1054241,December,Winter,4,2019,159,14,12,0.0,1.0,0.0,0.0,0.3545965,0.6132123,0.032191183,neutral,neutral
2019-12-23 12:00:00+00:00,Middle East,UN relief chief condemns attacks against humanitarian premises in Yemen,"The top UN humanitarian official has called for a thorough investigation into weekend attacks against the premises of three international aid organizations in Yemen that wounded one person, in addition to damaging property.","['top', 'un', 'humanitarian', 'official', 'called', 'thorough', 'investigation', 'weekend', 'attack', 'premise', 'three', 'international', 'aid', 'organization', 'yemen', 'wounded', 'one', 'person', 'addition', 'damaging', 'property']",https://news.un.org/en/story/2019/12/1054211,December,Winter,4,2019,223,21,13,0.168,0.784,0.049,-0.6597,0.69389975,0.29463905,0.011461253,negative,negative
2019-12-22 12:00:00+00:00,Middle East,Afghan President leads election; UN mission chief urges all to ‘safeguard’ final stage of process,"Welcoming the preliminary results for Afghanistan’s presidential election on Sunday, the head of the United Nations mission in the country urged the authorities and all actors to “protect the integrity of the final stage of the process.”","['welcoming', 'preliminary', 'result', 'afghanistan', 'presidential', 'election', 'sunday', 'head', 'united', 'nation', 'mission', 'country', 'urged', 'authority', 'actor', 'protect', 'integrity', 'final', 'stage', 'process']",https://news.un.org/en/story/2019/12/1054171,December,Winter,4,2019,237,20,14,0.0,0.804,0.196,0.8074,0.019010853,0.8106953,0.17029387,positive,neutral
2019-12-20 12:00:00+00:00,Global,"Friday’s Daily Brief: Pope Francis, Lesotho, Iran, world corruption","Our top stories for Friday include: Pope Francis receives the UN chief in Rome, Lesotho famine threat, concern for jailed Iranian protestors, and strengthened global action to prevent corruption.","['top', 'story', 'friday', 'include', 'pope', 'francis', 'receives', 'un', 'chief', 'rome', 'lesotho', 'famine', 'threat', 'concern', 'jailed', 'iranian', 'protestors', 'strengthened', 'global', 'action', 'prevent', 'corruption']",https://news.un.org/en/story/2019/12/1054141,December,Winter,4,2019,195,22,15,0.182,0.661,0.157,-0.4404,0.018053502,0.6873597,0.2945868,negative,neutral
