Id,datetime,country,region_clean,title,content,content_clean,url,month,season,quarter,year,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,vader_predict,roberta_predict
1,2019-12-31 12:00:00+00:00,Unknown,Global,2019: The UN News year in photos,"From sustainable development to economic development, and human rights to humanitarian aid, UN News provides daily coverage across all of the Organization's  key issues – health, migration, climate change and so much more.","['2019', 'un', 'news', 'year', 'photo']",https://news.un.org/en/story/2019/12/1054401,December,Winter,4,2019,0.0,1.0,0.0,0.0,0.05586908,0.9011349,0.042995997,neutral,neutral
2,2019-12-30 12:00:00+00:00,Sudan,Africa,Sudan: UN mission envoy commends signing of Darfur framework agreement,"The joint chief mediator for the African Union-United Nations Hybrid Operation in Darfur, UNAMID, welcomed on Monday a framework agreement between the Transitional Government of Sudan and the Darfur armed movements that was signed during peace talks in Juba, South Sudan, on Saturday.","['sudan', 'un', 'mission', 'envoy', 'commends', 'signing', 'darfur', 'framework', 'agreement']",https://news.un.org/en/story/2019/12/1054521,December,Winter,4,2019,0.0,0.738,0.262,0.4939,0.007902643,0.6815117,0.3105857,positive,neutral
3,2019-12-30 12:00:00+00:00,Unknown,Global,Deadly decade: UNICEF reports three-fold rise in verified attacks on children since 2010,"Conflicts around the world are lasting longer and claiming more young lives, UNICEF Executive Director Henrietta Fore said on Monday, as the agency reported that over this ‘deadly decade’, there has been a three-fold rise in verified attacks on children since 2010 – an average of 45 violations a day.","['deadly', 'decade', 'unicef', 'report', 'three-fold', 'rise', 'verified', 'attack', 'child', 'since', '2010']",https://news.un.org/en/story/2019/12/1054231,December,Winter,4,2019,0.195,0.805,0.0,-0.4404,0.74266607,0.24643213,0.010901746,negative,negative
4,2019-12-29 12:00:00+00:00,Libya,Africa,"Continued airstrikes in western Libya ‘utterly unacceptable’, says UN mission chief",The top United Nations official in Libya has condemned recent airstrikes targeting civilian installations that left at least three people dead and several others injured.,"['continued', 'airstrikes', 'western', 'libya', 'utterly', 'unacceptable', 'say', 'un', 'mission', 'chief']",https://news.un.org/en/story/2019/12/1054471,December,Winter,4,2019,0.0,1.0,0.0,0.0,0.8403103,0.15413263,0.005557065,neutral,negative
5,2019-12-28 12:00:00+00:00,Somalia,Africa,Secretary-General condemns ‘horrendous’ Somalia car bomb attack,"Perpetrators behind the deadly terrorist attack in Somalia on Saturday must be brought to justice, the UN Secretary-General has said.","['secretary-general', 'condemns', 'horrendous', 'somalia', 'car', 'bomb', 'attack']",https://news.un.org/en/story/2019/12/1054451,December,Winter,4,2019,0.706,0.294,0.0,-0.8625,0.8735495,0.121997535,0.0044529466,negative,negative
6,2019-12-27 12:00:00+00:00,HT,Americas,"Haiti: Food insecurity expected to rise next year, UN humanitarian agency reports","The number of Haitians who do not have sufficient food to eat is expected to surpass four million next year, the UN humanitarian affairs office, OCHA, said on Friday.","['haiti', 'food', 'insecurity', 'expected', 'rise', 'next', 'year', 'un', 'humanitarian', 'agency', 'report']",https://news.un.org/en/story/2019/12/1054441,December,Winter,4,2019,0.203,0.797,0.0,-0.4215,0.63594425,0.34899127,0.015064455,negative,negative
7,2019-12-26 12:00:00+00:00,Afghanistan,Asia Pacific,Ending war only ‘real hope’ for prosperous Afghanistan: UN mission chief,"Only by ending the war in Afghanistan can there be “real hope” for a prosperous future for the country, the top UN official there said on Thursday.","['ending', 'war', 'real', 'hope', 'prosperous', 'afghanistan', 'un', 'mission', 'chief']",https://news.un.org/en/story/2019/12/1054321,December,Winter,4,2019,0.244,0.562,0.194,-0.2023,0.070258886,0.80410105,0.1256401,negative,neutral
8,2019-12-25 12:00:00+00:00,Burkina Faso,Africa,"Violent attack in Burkina Faso leaves dozens of women dead, draws censure of UN chief","United Nations Secretary-General António Guterres has “strongly"" condemned an attack carried out yesterday by unidentified gunmen in northern Burkina Faso.","['violent', 'attack', 'burkina', 'faso', 'leaf', 'dozen', 'woman', 'dead', 'draw', 'censure', 'un', 'chief']",https://news.un.org/en/story/2019/12/1054301,December,Winter,4,2019,0.485,0.515,0.0,-0.9062,0.93618196,0.06197794,0.0018400484,negative,negative
9,2019-12-25 12:00:00+00:00,Unknown,Global,UN chief offers the world wishes for ‘peace and a blessed New Year’,"While visiting with Pope Francis at the Vatican on Friday, UN Secretary-General António Guterres extended wishes for a peaceful Christmas and a blessed New Year.","['un', 'chief', 'offer', 'world', 'wish', 'peace', 'blessed', 'new', 'year']",https://news.un.org/en/story/2019/12/1054281,December,Winter,4,2019,0.0,0.645,0.355,0.6705,0.0025921767,0.12449409,0.87291366,positive,positive
10,2019-12-25 12:00:00+00:00,Unknown,Global,"The 2010 – 2020 UN News Decade in Review, part two","With the 2020s now in full view, welcome to the second in our three-part series looking back at some of the major UN-related stories of the past decade. In part two, we take in the years 2014 to 2016, which saw the worst outbreak of Ebola ever recorded; new hope that the climate crisis could be tackled by world leaders, through the historic Paris climate agreement; a UN mission in Colombia to facilitate a much-awaited peace process; and the launch of the UN’s 2030 Agenda, a plan of action for people, the planet and prosperity.","['2010', '2020', 'un', 'news', 'decade', 'review', 'part', 'two']",https://news.un.org/en/story/2019/12/1053701,December,Winter,4,2019,0.0,1.0,0.0,0.0,0.038564198,0.9270646,0.03437117,neutral,neutral
